id	origin	content
d20491b3-6df1-4007-81fa-0028517f515a	wpwiadomosci	Przesłanie lekarza z Mariupola. Powiedzcie mojej mamie...
d1aa9eda-194c-4a9b-946e-ee626f5387f9	o2	Prezydentowi Wrocławia puściły hamulce. W sieci oburzenie. "To jest groźba"
d03cf53d-4e37-442a-9e76-355b25d29dd8	o2	Od tej strony Krystyny Pawłowicz nie znaliśmy. Zrobiła to publicznie
cf31aab1-ced2-4b19-bbd5-9390b0a847f8	pudelek	Edyta Górniak jest gotowa PRZEBACZYĆ kokainiście Dariuszowi Krupie! "Jakby stanął tutaj tata Allana, WYCIĄGNĘŁABYM RĘKĘ"
cf021d7f-81e4-402b-b6ad-f9e21cfdcef2	pudelek	Roma Gąsiorowska o trudnej relacji z ojcem: "NIE DAŁ MI MIŁOŚCI"
cef50fe4-1c3e-4468-a1fa-8a050c876d1e	pudelek	Ciężarna Zielińska nagrywa płytę!
ceec9bc2-384a-47bc-a42e-aedded52ac11	o2	Z zimną krwią zamordował rodziców i 7-letniego brata. Szokująca decyzja sądu
ce9ca30a-4420-48f1-8ce5-11373286f694	wyborcza	Przyspieszone wybory przesądzone?
ce00aad9-a1f5-40ba-b094-99e6e1c77c84	wp-wiadomosci	Marek Belka o Morawieckim. Nie owijał w bawełnę
cda2a45f-a9d5-488d-a311-d1e2d81d61c8	tvpsport	Gorąco po półfinale Ligi Mistrzów. Brak rzutu karnego to skandal!
cd82858b-04bc-447e-86b4-0b0f37fcdab6	wp-wiadomosci	Burza po materiale "Wiadomości". Mocny komentarz Gowina
cd3cbfe0-7ff3-4b2a-b63b-06ef460722da	pudelek	Monika Chwajoł wyprawia córce komunię świętą NA BOGATO: biało-złota karoca, droga restauracja i... maszyna do wyrzutu piłek tenisowych! (ZDJĘCIA)
cd3939e0-699b-4dec-b5b4-d0d1a6208502	pudelek	Emma Corrin zdradza, że ludzie MDLELI NA WIDOK jej matki, bo była tak podobna do księżnej Diany!
cd0fbc92-f09e-4123-8a64-3d3ec529d7f0	o2	30 wozów strażackich w akcji. Wielki pożar w Chorzowie
cbfe5b71-0fcc-4377-b8c6-86befbe6682c	wp-wiadomosci	Płaca minimalna w 2022 roku. Rząd podjął decyzję
ca8e3496-6529-40d3-8584-5f57e2f1df99	pudelek	Eurowizja 2021. Reprezentanci Norwegii i Azerbejdżanu MAJĄ ROMANS?!
c9a3a752-a53e-403e-b2b1-6478f53224ae	pudelek	Ślotała: "Jestem zakochana w córeczce, ale wracam do pracy"
c99bb7e1-7f7c-475e-8eeb-aedb1c2ee478	pudelek	Michele Morrone tłumaczy się z SEKSOWNEGO ZDJĘCIA z Simone Susinną
c95eda20-ead0-4edb-b22a-64045549d353	wyborcza	Przestępca poszukiwany w całej Europie wpadł w piekarni. Bo nie miał maseczki
c80a52f2-4506-45d9-80ef-e9affc4819c8	pudelek	Magda Gessler: "Nigdy w życiu nie robiłam sobie nic na twarzy"
c7ecc1f4-365f-4517-a075-8b434d922411	wp-wiadomosci	Dramatyczne krzyki przy granicy. To błąkają się krewni "zakładników Łukaszenki"
c7986ec4-eddc-4814-a7d0-da2168773323	pudelek	Rafał Brzozowski zachowawczo o tym, czy jedzie na Eurowizję: "To nie są moje decyzje!"
c76c8545-6761-4a09-8ccb-38acc9795e08	pudelek	Power Couple. Znamy ZWYCIĘSKĄ PARĘ 1. edycji programu!
c6d33d82-5ee6-42bf-b2c5-8100e26e99f3	pudelek	Dagmara Kaźmierska ma już pomysł na pracę w Egipcie. "Nie umiem tak, żeby hajs nie leciał"
c651fc01-8e23-46c1-8880-df52a500ff4b	pudelek	Dagmara Kaźmierska kupi Conankowi MIESZKANIE! "Co za różnica, czy dam mu to teraz, czy dostanie, jak zdechnę?"
c60de3dc-5efe-49fa-bee4-3d51b407107f	pudelek	Księżna Monako wyjechała z kraju! Leczy się w specjalistycznym ośrodku: "Była WYCIEŃCZONA emocjonalnie i fizycznie"
c6087289-0b6b-4b58-b242-16f0005ac308	pudelek	Macademian Girl "w stylu lat 20-tych"!
c603fd92-fc8b-4283-9c51-2ef1fd09d738	pudelek	Herbuś: "Korwin-Piotrowska używa słownictwa Z MARGINESU!"
c5110e69-0402-4527-a90e-fc24c617ad72	o2	Przerażające odkrycie na klatce schodowej w Ostrowcu. Jest podejrzany
c4c005fb-1a95-4ecf-be91-6eca43042814	pudelek	Nowe informacje o stanie zdrowia księcia Filipa. Głos zabrała Camilla Parker Bowles
c291cee4-eae1-4d49-98bf-c1241945c1cd	wyborcza	Ostatnia misja latającej fortecy. Naukowcy i specjaliści z Departamentu Obrony USA znaleźli szczątki zestrzelonego bombowca
c23cd22a-79ac-459e-8740-8a2d96c7aa4f	other	Śmiertelnie niebezpieczny. Może zaatakować w Wigilię o godz. 22:00
c19c6a00-c1d2-46bc-9076-3f6156b38648	pudelek	Dorosła Oliwia Bieniuk zasłania piersi ręką podczas "odważnej" sesji (ZDJĘCIA)
c0e12305-0988-4f07-8d2a-5048ae86d4a4	o2	W 2016 stracił wszystko. Jedno spotkanie odmieniło życie bezdomnego
c0deebe7-dfa9-44ad-8e29-be2264b03606	pudelek	Szulim o "Azja Express": "Proszenie o pieniądze jest dla mnie barierą!"
c02e985b-383c-4251-8f9b-ed1046451386	pudelek	Nawiedzony dom ofiar sekty Charlesa Mansona sprzedany za 2 miliony dolarów
bffaa55c-44da-46ca-8229-fd6d9e43d54b	other	Luksus to mało powiedziane. Cena hotelu zwala z nóg
bfeba8e6-ecf4-4574-a3d5-8240fb657f34	pudelek	Odżywia się kaszką dla niemowląt!
bfcfed3e-4492-4264-bee1-47724cf6d6d2	pudelek	Książę Harry zmienił wizerunek? "Wyglądało, jakby miał KUCYK"
bf79b916-2c68-403e-9ce3-12824788dbbb	pudelek	Dziś 10. rocznica śmierci Ciechowskiego! 
bf5d7947-c945-45a2-abf9-c1af1e82a3d9	pudelek	Mama męża Figury wyznaje: "KAI JEST NIEBEZPIECZNYM PSYCHOPATĄ. Mi też groził śmiercią!"
bf4670ac-7965-4dac-a541-48a36240a333	pudelek	Jennifer Aniston i Brad Pitt jednak SPOTKALI SIĘ po Oscarach! "To była emocjonująca noc"
bed5bc36-1114-47aa-8ea2-2e864af8a203	pudelek	Ania Starmach świętuje pierwszą rocznicę ślubu: "Bajka nadal trwa a ja jestem JESZCZE SZCZĘŚLIWSZA"
be0250a6-8fe5-48fb-a224-c5c77e61d63e	wyborcza	Schetyna: Klich i Zdrojewski ministrami?
bdffd698-3c62-4025-84df-2207a8dd8f9a	wyborcza	Zamordowany ksiądz patronem skweru nad metrem. Nowa nazwa przypłacona łzami i nerwami
bdc20ee0-9015-4e19-8973-22d48bc7078d	o2	Warszawa. Mężczyzna udał się za potrzebą, dokonał szokującego odkrycia
bc3171f5-3bfa-4858-8ff5-05bffe0cb6e6	o2	Skandaliczne zachowanie opiekunek. Nagranie ze żłobka oburzyło rodziców
bbffec0c-87db-4662-827e-084310be55c3	pudelek	Ramówka TVN. Agnieszka Woźniak-Starak zadaje szyku CAŁA W DŻINSIE (ZDJĘCIA)
bb9b814e-a6c8-44a0-ac0b-09fdae951a1e	pudelek	Łukasz ze "Ślubu od pierwszego wejrzenia" zachwyca się synkiem: "Teraz dopiero poczułem się prawdziwym tatą"
ba8576cb-cfe8-41b4-8ec6-7d37efc9c893	pudelek	Victoria w krótkiej sukience
ba81ecd8-dd09-46db-815a-d1102acfdacc	wyborcza	W Częstochowie proces mafii śmieciowej rozpocznie się później. Wśród oskarżonych jest były wójt spod Kielc
ba06ddd1-00d5-495c-9e23-c99f44eb6330	pudelek	Dzieci show biznesu: "Leon Myszkowski świetnie sobie radzi"
b9fcf65b-eb99-4ea2-9805-931c5f4f3bd3	pudelek	Biografka brytyjskiej rodziny królewskiej: "Diana CIĘŁA SIĘ ŻYLETKAMI na oczach Karola! Nie miała żadnych zainteresowań"
b775ccf4-d713-48f4-8563-ca72b7ab0e9e	wyborcza	Dudka złamał nogę?
b710c8ce-ea59-4b45-9589-1dfa779f42cd	other	Miłość, seks & pandemia. Jest ZWIASTUN nowego filmu Patryka Vegi! 
b5581e24-ed09-4f48-8402-52b4b84bb0f0	pudelek	Ewa Mrozowska marzy o odzyskaniu dawnej figury. Fani są zaniepokojeni
b54069ff-deb5-42a2-b460-56c8b9d4f92c	o2	W TVN24 nie mają złudzeń. W studiu zapadła krępująca cisza
b50a483e-4393-442b-b3c7-b24994afdc60	o2	Obostrzenia dla niezaszczepionych? Nowy lockdown? Oto co myślą Polacy
b505342b-5aa0-454c-8b5f-98f3be139150	pudelek	Najbardziej KOMPROMITUJĄCE wpadki gwiazd z Photoshopem: Małgorzata Rozenek, Katarzyna Skrzynecka, Natalia Siwiec (ZDJĘCIA)
b46c3c48-458b-48c9-a268-10f0da47c710	pudelek	Reese Witherspoon i Jennifer Hudson na balu Tiffany'ego
b40dba10-9c9c-45d4-91c3-bc386e241896	wyborcza	Będzie obniżka VAT na prąd i gaz. Rząd chce zastąpić Glapińskiego
b3fe6603-21f0-4e63-85be-257205b1b430	o2	Zaskakujące informacje. Przemytnicy oferują to na Facebooku
b3c9dd4c-2563-469a-b80c-6293dbf5bc6b	pudelek	Rolnik szuka żony. Magda jednak znalazła miłość? Internauci sceptyczni: "Taka wymagająca, a tu TAK SZYBKO"
b27b4a8d-cb8e-4d35-aa91-dcf54976730d	wyborcza	Wybitny kompozytor ocenzurowany. Bo zacytował Kaczyńskiego w koncercie fletowym
b1da275e-22d0-42f8-9f3d-9a29126b69e2	o2	Tak 14-latek uczesał się do szkoły. Nauczyciele byli zbulwersowani
b000d70f-3b33-46f3-8d3c-ac81e196be27	pudelek	Pawlikowski o swoim przemówieniu oscarowym: "TROCHĘ TO ŻENUJĄCE"
afa8238c-c4f6-4d45-b487-c14c36b1a573	pudelek	Dopasowana kolorystycznie do wystroju wnętrza Małgorzata Rozenek narzeka na dorodny biust: "Jak on mnie już denerwuje!"
ae4fe496-5b55-4e00-9c14-0bec0970fe34	wyborcza	Beata P., znana wokalistka, odpowie za jazdę pod wpływem alkoholu. Jest akt oskarżenia
ae2bf7b3-2434-48a1-89cb-b175de2a7021	pudelek	Eurowizja 2021. Są już wyniki testu na OBECNOŚĆ NARKOTYKÓW w organizmie Damiano Davida z Maneskin!
acbbba2f-7c2f-4391-9a8b-79d2024fea3b	pudelek	Transpłciowy mężczyzna URODZIŁ SYNKA! "Jeśli ktoś powie wam, że mężczyzna nie może urodzić dziecka, pokaż mu to wideo"
aca349e1-53b3-4d8e-a7fd-80ebc06ae101	wyborcza	Były sekretarz obrony pozywa Pentagon. Poszło o książkę o czasach Donalda Trumpa
aba74d84-4930-4a72-855c-b67fbd10c291	wp-wiadomosci	Mocne słowa prof. Simona. Mówi o rekomendacjach Rady Medycznej
aafb1a0b-e1e8-4443-a0de-5058e739e1dc	wyborcza	Szantaż czy spisek w Mlekovicie? W tle grube miliony, a także adwokat Ziobry i Obajtka
aa9d8c29-a863-48de-b5fc-7b766cc935f3	pudelek	Kibic chciał uściskać Szczęsnego, a on... bronił go przed ochroniarzami!
a9b94e6c-44bb-4d16-ac2c-3daf61e58a1c	wyborcza	Czy „białe miasteczko” zostanie zlikwidowane?
a986e95e-adc6-4204-a814-b69d9bf66b2b	pudelek	Gosia Andrzejewicz zwiodła wszystkich w Opolu
a96a1566-537d-49b4-8d21-daf68a70518d	o2	Skandaliczne zachowanie fotografa w Pieninach. Widać je na zdjęciu
a848583c-8ae9-4e66-8994-cc0886021c70	pudelek	Naturalna Dua Lipa stroi miny na meksykańskich wakacjach z Anwarem Hadidem 
a7d04fbf-3dd0-45c1-93bf-4d37897aaaed	wyborcza	Bułgarzy wybrali prezydenta
a65c85da-7347-493a-8634-b4f00ba50d37	pudelek	W tej samej sukience na dwóch imprezach
a63251f9-c951-4a77-8927-b6fe727b4095	wyborcza	Odciski dłoni i stóp sprzed 169-226 tys. lat. Czy to najstarsza na świecie sztuka naskalna?
a5507535-2011-4390-92f4-a39e924db255	pudelek	Pawlicki i Więdłocha już gotowi na mrozy: ubrani po szyję "hartują" się w Parku Skaryszewskim
a4c5fc1a-2f65-4ab3-a13f-3b45513f08db	wp-wiadomosci	Monika Olejnik o Kamilu Durczoku. Pożegnanie na antenie TVN24
a1fd3b6c-a78c-4a1b-8124-7dd543e599e9	pudelek	Tomasz Kammel nękany pytaniami o odejście Marzeny Rogalskiej z TVP: "Ona pokazała klasę, A TY KIEDY?!"
a1c1a122-02b1-42c2-905a-e2be662f90fd	wyborcza	Teczka Sikorskiego odtajniona bezprawnie?
a16932ee-4dc5-4771-babc-38152c64b308	pudelek	Teściowa Szulim "zainspirowała ją". "Chce prowadzić fundację sygnowaną nazwiskiem bogatej rodziny"
a14e8b18-1a7a-4c2c-9720-fdfd2625953b	o2	Chorują na COVID-19. Koronawirus dodatkowo mutuje w ich organizmie
a0aa6888-6f07-4d7d-9e9c-9f0cda058807	pudelek	Natalia Siwiec jako JEDNOROŻEC dokazuje z "księżniczką" Mią... 
9f6a62c9-9dd6-468d-9993-becd71bffeaf	o2	Wyciekło wideo z zatrzymania Tuska. Wtedy stracił prawo jazdy
9f4d0c0e-cff1-4e60-b952-16266f59ba9f	pudelek	Tokio 2020. Polska wioślarka-medalistka dziękuje SWOJEJ DZIEWCZYNIE na antenie TVP!
9ee8c492-e18e-47fb-9abe-d1a1ba74e1eb	o2	Dramat Adama z Podkarpacia. Zamknięcie serwisu Roksa.pl zniszczyło mu życie
9dbe18f0-8340-4f7b-a324-3b6bfeffb420	o2	Milionerzy. To pytanie o strój zagięło uczestnika
9d566335-464e-46ce-ba65-499e97bb0308	pudelek	Katolicy złożyli wniosek o odwołanie koncertu!
9ca3870d-5840-480a-b913-a92a237e5609	pudelek	Kayah: "Kabała wyleczyła mnie z białaczki!"
9c909335-d863-47b7-b3ec-90530b7bf991	pudelek	Izabella Łukomska-Pyżalska pręży wyćwiczone ciało w kolorowym kostiumie: "FIT MOM" 
9c371027-a9c3-4ca5-be7b-5d9809248d88	pudelek	Weronika Rosati staje w obronie beżowych majtek Julii Wieniawy: "TO NIE SZAJS"
9b026fc4-2efa-492e-87bc-497ca337bb89	pudelek	Gwiazdy pozują na gali w Nowym Jorku
9aafbf32-90a5-4a1b-87aa-c85cc52e333f	pudelek	GŁODZILI ją i zmuszali do kuracji oczyszczających!
9a7e39c1-9b26-4548-86f8-0e7e2d9ec088	pudelek	Doda i Emil przekładają ślub. "Nie mają teraz pieniędzy"
99ff25da-e6bb-42e2-bc7a-9c8d179f822b	wp-wiadomosci	Ojciec prezydenta o homoseksualizmie. Reakcja Joanny Muchy
996f5d26-595f-44a9-adec-5275a22f9943	pudelek	Doda chce zostać matką!
994d8d50-1590-4e6d-8b1e-5bdeaa3569be	o2	Pijany 19-latek rozbił betonowy płot. Miał "ważny" argument
9943f19c-9110-4066-8bee-3a69228294e7	pudelek	Modelka plus size PO RAZ PIERWSZY na okładce "Vogue Polska"! Internauci: "Wyszła NUDA" 
98c14a9e-5853-4a73-a810-9443434ffd55	other	Miliarder przewiduje przyszłość. Za 3 lata wszystko się zmieni
984eb55b-8670-4820-844b-702dbd3a6636	wp-wiadomosci	Szokująca interwencja żołnierzy. Były szef MON użył mocnych słów
9654c43d-341c-403c-8ae2-8a0c6a7512be	pudelek	Justyna Steczkowska wspiera leczenie chorego chłopca: "Razem możemy tak wiele za tak niewiele"
9652868a-e8a8-4269-9ae4-3e48329692d8	pudelek	Ulubienica Vegi: "Lubię męskie kino"
954159ef-1039-42e9-ae0b-b70943939d09	pudelek	Rihanna BEZ MAKIJAŻU w nowym teledysku!
94e1fdbe-0819-4f67-82c3-14bd321b47a6	pudelek	Emily Ratajkowski pozuje dla "Vanity Fair"!
931492e0-afd3-4d46-9768-159f9048fe9c	pudelek	Cejrowski o kierowcy Szydło: "Jego obowiązkiem było STARANOWAĆ POJAZD, KTÓRY PCHA SIĘ NA PREMIERA!"
92c11707-4bdd-4990-9b1a-4207523490d0	o2	Bunt w szkole w Radzyminie. Tak uczniowie zareagowali na wizytę Czarnka
9119ead0-5c0a-4d67-ad82-c4b64f8e1ce2	pudelek	Rolnik szuka żony. Siostra Marty pozdrawia oburzonych widzów: "Polacy nie mają pojęcia o modzie"
90e18b9a-017d-4180-92a8-8cc593553fb8	pudelek	Taniec z gwiazdami jest ustawiony?
8fc2a841-07fd-4dc1-aa50-5e8e8b457791	o2	Mina mordercy mówiła wszystko. Wstrząsające nagranie policji
8ef515b9-4257-4dc3-97b8-26a46309a501	pudelek	Majdan dał się sprowokować kibicom!
8c021d9b-3f39-4a05-a73d-ccb0b9d41c0a	pudelek	CIĄŻOWY brzuszek Zosi Ślotały…
8af02164-78cd-444c-b064-53ab38b674a9	pudelek	Chodakowska znów pokazała sutki…
8ab96cd2-3030-4bc3-9aa7-7b95db961a4e	wp-wiadomosci	Jacek Karnowski ostro do Przemysława Czarnka. Mówi o dyskryminacji uczniów
8a003cff-e6f0-44c1-b73e-ab8a826ff41f	pudelek	Anna Lewandowska i Zofia Ślotała z przyrośniętym do twarzy smartfonem bawią się na meczu z San Marino. Widziała w ogóle płytę boiska? (ZDJĘCIA)
885f972d-c9cc-4dc2-81b6-5979695b7602	wp-wiadomosci	Szokujące sceny w szkole średniej. Dyrektor miał chwycić za nóż
8792fec1-f229-4a92-b1d8-f4a774d33d9c	pudelek	Eurowizja 2021. Internauci oceniają debiut Aleksandra Sikory i Marka Sierockiego: "Nie było osobistego komentarza. JAK ZE SKRYPTU"
86d32c8f-4d5e-408f-ae82-4bbe27cd04d9	pudelek	Chuda Kołakowska pokazuje nogi na premierze
86949da4-6ba8-4614-bde5-eeefd966aa0b	pudelek	Jessica Simpson jest w ciąży!
e1a4e6ea-b027-4f50-82cc-3500d812aecf	pudelek	Miley, obcisłe body i WIELKIE FUTRO
e16c984d-d677-4b0d-ac6f-32f61cc9d1aa	pudelek	Skrzynecka jest w ciąży?
861b8f70-bbc0-4dfd-b1db-7b51c7029fbc	pudelek	Arciuch, Warnke, Lis, Rosati i Cegielska na imprezie lokówek
85fadafe-51df-4896-8470-54fb2933e5c3	wyborcza	Nie zakłócał mszy, stał z planszą "Piekło kobiet". Za protest w kościele w Koszalinie Tomaszowi grozi więzienie
85f6f4c8-f465-4733-9a1e-4c767af32e14	wp-wiadomosci	Uczniowie śmiali się z prezydenta Dudy. Nauczyciel wpadł w furię
856da2da-b86a-4e30-85a1-eb9e4a10940b	pudelek	Tak wyglądają kulisy sesji Margaret!
8439f71b-c361-4905-b050-f3de1a3ac73f	pudelek	Karolina Pajączkowska w kreacji z odkrytymi ramionami FLIRTUJE z obiektywami na premierze 
833ad2fd-c69f-4ee9-ad13-189d94bfb8cb	o2	Niepokojący widok w Zakopanem. Nie wiadomo, co to jest
818f8f61-1ac9-407d-b150-e7cf99f50464	tvpsport	Bayern trafił na giganta! Wielki hit w 1/8 finału Ligi Mistrzów
8127a4ee-af8f-4a6d-974e-be6e2ec16208	pudelek	Syn księcia Harry'ego i Meghan Markle ma TERAPEUTÓW?! "Dbają, by rozwijał się w PONADPRZECIĘTNYM TEMPIE"
803de67d-2527-4003-9a7d-a1c65589f48c	other	Ukochana Jeffa Bezosa nie odstępuje go na krok na czerwonym dywanie 
802f84b2-3014-440a-b71b-2e2192e142ad	pudelek	Była przyjaciółka Ivanki Trump obnaża jej PRAWDZIWĄ TWARZ: "Dlaczego miałabym chcieć czytać o PIEPRZONYCH BIEDNYCH LUDZIACH?"
7f5b08dd-a4c3-4856-a52d-2f30b376dbdc	pudelek	Tłum celebrytów na premierze "Listów do M. 3": Odchudzony Karolak, Dygant, Różczka, Szulim... (DUŻO ZDJĘĆ)
7f158e55-a666-4185-81a3-5a5e894e757f	pudelek	Agnieszka Radwańska wspomina ślub, który KOSZTOWAŁ MAJĄTEK: "Płaciłam za prywatność, która też kosztuje!"
7e25614d-3944-4dd7-8057-4235ee65ce68	wyborcza	Jeden z najbardziej monumentalnych budynków w Łodzi stoi pusty. Co dalej z gmachem PKO BP?
7a4aaa49-cdae-4799-a2dd-15816c78d5e1	pudelek	Pierwsze córki głosują w wyborach: Kinga Duda czy Kasia Tusk?
714e768d-e540-4a59-bc0a-c806ff42f2fe	other	Łącznie zrzucili ponad tonę! Zobaczcie spektakularne metamorfozy gwiazd 
712d6786-bcc1-426e-94a5-bb3175bb10fc	o2	25-latek w audi. Skasował przystanek, potrącił dwie nastolatki
70a3313e-f755-45e4-a038-ff5560fb1412	pudelek	Jennifer Lawrence w kampanii Diora
eba94545-0896-4829-af38-e24a4a051516	pudelek	Od kilku tygodni się nie rozstają
708d9978-1f2c-4e49-87c6-63fb33acada8	wyborcza	Maria Peszek j... to wszystko i dzieli się nowym teledyskiem. "Love, sex... All inclusive"
704ecf80-ec49-4aa9-91ce-07f8105e7860	o2	Zaskakujące nagranie z Mejzą trafiło na YouTube. Jest z 2018 roku
6ef88643-3b18-40f2-b265-a4368443fb4a	pudelek	Modli się i medytuje
6e7bc520-dee2-446d-9878-e59c11edd13a	o2	Żałoba w Hollywood. Poruszające ostatnie słowa aktora
6e42602c-6351-4b6c-8b5f-3cf7ca70d24b	pudelek	Dumna Anna Lewandowska prezentuje KOLEJNE TALENTY czteroletniej Klary: pływa i robi arbuzowe lody
6dd1e193-fa00-4c97-9630-4027e540d19c	o2	Były biskup bierze ślub. Jego wybranka pisze książki o szatanie
6d283cc9-ccba-4c00-82fa-e6ebd60506fb	wyborcza	Lokatorka mieszkania TBS w Gdańsku i jej syn zarabiają prawie 2 tys. zł na wynajmie lokalu
6d186061-c71e-4207-b412-d040d40b1ac1	pudelek	SZOK I NIEDOWIERZANIE! Małgorzata Godlewska odwołuje kolędowanie: "W tym roku coviduję z pacjentami"
